관광지명,주소,주소_시,장소 카테고리,대분류,중분류,소분류,총 방문자수,기준월,3월 방문자수,월요일방문자수,화요일방문자수,수요일방문자수,목요일방문자수,금요일방문자수,토요일방문자수,일요일방문자수,위도,경도
돈사돈,제주특별자치도 제주시 우평로 19 ,제주시,음식점,음식,음식점,한식,1705.0,3.0,159.0,28.0,23.0,25.0,26.0,29.0,11.0,17.0,33.4788279,126.4641046
돈사촌,제주특별자치도 서귀포시 동홍중앙로52번길 4 ,서귀포시,음식점,음식,음식점,한식,129.0,3.0,9.0,1.0,0.0,1.0,1.0,3.0,1.0,2.0,33.5119099,126.5198713
돈이랑,제주특별자치도 서귀포시 일주서로 953 (색달동),서귀포시,음식점,음식,음식점,한식,264.0,3.0,27.0,7.0,4.0,4.0,2.0,4.0,1.0,5.0,33.2577179,126.4088731
돈향기,제주특별자치도 제주시 관덕로15길 30 ,제주시,음식점,음식,음식점,한식,198.0,3.0,14.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,33.515825,126.5270343
돔베돈,제주특별자치도 제주시 관덕로15길 25 ,제주시,음식점,음식,음식점,한식,210.0,3.0,8.0,0.0,3.0,0.0,4.0,1.0,0.0,0.0,33.5155768,126.5266926
동도원,제주특별자치도 서귀포시 이어도로 189 ,서귀포시,음식점,음식,음식점,한식,237.0,3.0,17.0,5.0,3.0,2.0,2.0,0.0,3.0,2.0,33.2395369,126.4417794
동문수산시장,제주특별자치도 제주시 이도일동 1349-60 ,제주시,쇼핑,쇼핑,쇼핑,상설시장,2687.0,3.0,198.0,25.0,21.0,36.0,35.0,26.0,25.0,30.0,33.5126937,126.5262065
동문재래시장,제주특별자치도 제주시 관덕로14길 20 ,제주시,쇼핑,쇼핑,쇼핑,상설시장,23886.0,3.0,1120.0,140.0,138.0,208.0,209.0,163.0,124.0,138.0,33.5116033,126.5260192
동박생이,제주특별자치도 제주시 구좌읍 월정1길 89 ,제주시,숙박,숙박,숙박시설,펜션,398.0,3.0,40.0,3.0,6.0,9.0,5.0,10.0,2.0,5.0,33.5584132,126.792853
동백포레스트,제주특별자치도 서귀포시 남원읍 생기악로 53-38 ,서귀포시,관광지,자연,자연관광지,수목원,11609.0,3.0,300.0,41.0,40.0,43.0,68.0,52.0,26.0,30.0,33.3330338,126.6180657
동일리포구,제주특별자치도 서귀포시 대정읍 동일하모로98번길 14-32 ,서귀포시,관광지,자연,자연관광지,항구/포구,478.0,3.0,38.0,5.0,10.0,6.0,6.0,5.0,2.0,4.0,33.247276,126.2475706
동해미락,제주특별자치도 서귀포시 칠십리로 133 ,서귀포시,음식점,음식,음식점,일식,537.0,3.0,59.0,7.0,8.0,10.0,9.0,8.0,8.0,9.0,33.2436735,126.5682369
두맹이골목,제주특별자치도 제주시 일도이동 1006-11,제주시,관광지,인문(문화/예술/역사),체험관광지,이색거리,741.0,3.0,98.0,16.0,19.0,15.0,11.0,22.0,9.0,6.0,33.5120308,126.5349279
둔지봉,제주특별자치도 제주시 구좌읍 한동리 산 40,제주시,관광지,자연,자연관광지,산,527.0,3.0,62.0,21.0,6.0,6.0,8.0,7.0,8.0,6.0,33.5016894,126.7942442
뒤굽은이오름,제주특별자치도 서귀포시 성산읍 일주동로 (수산리) 일대,서귀포시,관광지,자연,자연관광지,산,478.0,3.0,55.0,8.0,4.0,9.0,9.0,8.0,9.0,8.0,33.4308824,126.8264732
듀포레,제주특별자치도 제주시 서해안로 579 ,제주시,음식점,음식,음식점,카페/전통찻집,148.0,3.0,10.0,3.0,0.0,2.0,3.0,1.0,0.0,1.0,33.5185457,126.5000597
등경돌식당,제주특별자치도 서귀포시 성산읍 일출로 279 ,서귀포시,음식점,음식,음식점,한식,251.0,3.0,34.0,2.0,5.0,5.0,7.0,8.0,5.0,2.0,33.4626155,126.9345315
따라비오름,제주특별자치도 서귀포시 표선면 가시리 산62,서귀포시,관광지,자연,자연관광지,산,6840.0,3.0,578.0,69.0,85.0,124.0,82.0,73.0,62.0,83.0,33.3828211,126.7313785
띠띠빵빵,제주특별자치도 제주시 우도면 우도해안길 982 ,제주시,음식점,음식,음식점,중식,206.0,3.0,23.0,3.0,3.0,3.0,5.0,4.0,2.0,3.0,33.5081966,126.9670484
라온골프클럽,제주특별자치도 제주시 한경면 용금로 998 ,제주시,레포츠,레포츠,육상 레포츠,골프,615.0,3.0,55.0,10.0,10.0,5.0,10.0,7.0,7.0,6.0,33.3418703,126.2780253
라온명품관,제주특별자치도 제주시 한림읍 금능남로 127 ,제주시,쇼핑,쇼핑,쇼핑,전문매장/상가,464.0,3.0,52.0,1.0,7.0,8.0,11.0,7.0,10.0,8.0,33.3810152,126.2411754
라온호텔앤리조트,제주특별자치도 제주시 한림읍 금능남로 127 ,제주시,관광지,인문(문화/예술/역사),휴양관광지,관광단지,619.0,3.0,38.0,4.0,5.0,6.0,5.0,6.0,4.0,8.0,33.3810152,126.2411754
라헨느리조트,제주특별자치도 제주시 명림로 384 ,제주시,숙박,인문(문화/예술/역사),휴양관광지,관광단지,364.0,3.0,47.0,5.0,4.0,7.0,9.0,15.0,2.0,5.0,33.4521555,126.6155076
로빙화,제주특별자치도 서귀포시 남원읍 남태해안로 13 ,서귀포시,음식점,음식,음식점,카페/전통찻집,331.0,3.0,28.0,8.0,4.0,3.0,2.0,4.0,3.0,4.0,33.27515,126.7093389
롯데시티호텔제주,제주특별자치도 제주시 도령로 83 ,제주시,숙박,숙박,숙박시설,관광호텔,394.0,3.0,37.0,6.0,8.0,12.0,3.0,2.0,3.0,3.0,33.4906409,126.4866038
마노르블랑,제주특별자치도 서귀포시 안덕면 일주서로2100번길 46 ,서귀포시,음식점,음식,음식점,카페/전통찻집,3409.0,3.0,359.0,45.0,52.0,67.0,59.0,53.0,35.0,48.0,33.2542777,126.2945292
마돈,제주특별자치도 서귀포시 성산읍 섭지코지로 56 ,서귀포시,음식점,음식,음식점,한식,147.0,3.0,14.0,2.0,2.0,2.0,4.0,2.0,1.0,1.0,33.4375299,126.9218483
마두천손칼국수,제주특별자치도 제주시 용해로 45 ,제주시,음식점,음식,음식점,한식,269.0,3.0,31.0,7.0,4.0,3.0,4.0,8.0,3.0,2.0,33.5131118,126.5029959
마라도등대,"제주특별자치도 서귀포시 대정읍 마라로 (165, 마라도항로표지관리소) ",서귀포시,관광지,자연,자연관광지,등대,834.0,3.0,106.0,19.0,13.0,13.0,20.0,23.0,7.0,11.0,33.1697336,126.271453
마틸다,제주특별자치도 제주시 고내1길 33 ,제주시,음식점,음식,음식점,카페/전통찻집,333.0,3.0,37.0,4.0,9.0,3.0,7.0,5.0,4.0,5.0,33.4656782,126.3342415
만덕이네,제주특별자치도 서귀포시 표선면 서성일로 16 ,서귀포시,음식점,음식,음식점,한식,651.0,3.0,65.0,11.0,7.0,11.0,13.0,7.0,7.0,9.0,33.3933351,126.8011503
만부정,제주특별자치도 제주시 사장길 38 ,제주시,음식점,음식,음식점,일식,274.0,3.0,34.0,3.0,7.0,12.0,8.0,2.0,1.0,1.0,33.482681,126.4945352
만선식당,제주특별자치도 서귀포시 대정읍 하모항구로 44 ,서귀포시,음식점,음식,음식점,한식,479.0,3.0,50.0,6.0,6.0,10.0,13.0,5.0,3.0,7.0,33.217849,126.2498585
만월당,제주특별자치도 제주시 월정1길 56 ,제주시,음식점,음식,음식점,서양식,309.0,3.0,32.0,2.0,6.0,7.0,4.0,6.0,2.0,5.0,33.5561836,126.7929619
만장굴,제주특별자치도 제주시 구좌읍 만장굴길 182 (구좌읍),제주시,관광지,자연,자연관광지,동굴,43227.0,3.0,3086.0,412.0,459.0,536.0,502.0,530.0,298.0,349.0,33.52819720000001,126.7717618
맛나식당,제주특별자치도 서귀포시 성산읍 동류암로 41 ,서귀포시,음식점,음식,음식점,한식,910.0,3.0,88.0,9.0,6.0,15.0,19.0,14.0,11.0,14.0,33.4486021,126.9158529
맛있는집,제주특별자치도 서귀포시 중앙로 110 ,서귀포시,음식점,음식,음식점,한식,458.0,3.0,64.0,7.0,13.0,6.0,7.0,12.0,9.0,10.0,33.2508423,126.5644132
머체왓숲길,제주특별자치도 서귀포시 남원읍 서성로 755 ,서귀포시,레포츠,레포츠,육상 레포츠,트래킹,5344.0,3.0,867.0,125.0,153.0,162.0,129.0,123.0,89.0,86.0,33.31887750000001,126.6742738
메이즈랜드,제주특별자치도 제주시 구좌읍 비자림로 2134-47 ,제주시,관광지,인문(문화/예술/역사),휴양관광지,테마공원,8368.0,3.0,662.0,117.0,104.0,116.0,114.0,83.0,49.0,79.0,33.4743111,126.7771579
메콩스카이,제주특별자치도 제주시 연오로 35 1층,제주시,음식점,음식,음식점,이색음식점,290.0,3.0,30.0,3.0,4.0,3.0,8.0,6.0,2.0,4.0,33.4901181,126.5021141
명랑스낵,제주특별자치도 제주시 한림로 585 ,제주시,음식점,음식,음식점,한식,713.0,3.0,69.0,17.0,9.0,6.0,7.0,16.0,6.0,8.0,33.4092436,126.2588265
명월국민학교,제주특별자치도 제주시 한림읍 명월로 48 ,제주시,음식점,음식,음식점,이색음식점,2090.0,3.0,182.0,22.0,27.0,29.0,36.0,25.0,18.0,25.0,33.3885427,126.2648518
명월성지,제주특별자치도 제주시 한림읍 명월리 2236 ,제주시,관광지,인문(문화/예술/역사),역사관광지,성,1048.0,3.0,132.0,21.0,29.0,14.0,16.0,25.0,14.0,13.0,33.4004982,126.2609256
명진전복,제주특별자치도 제주시 구좌읍 해맞이해안로 1282 ,제주시,음식점,음식,음식점,한식,2602.0,3.0,262.0,43.0,30.0,49.0,47.0,41.0,27.0,25.0,33.5290971,126.8463777
모구리오름,제주특별자치도 서귀포시 성산읍 서성일로 260 ,서귀포시,관광지,자연,자연관광지,산,651.0,3.0,61.0,6.0,6.0,15.0,8.0,12.0,6.0,8.0,33.40684760000001,126.8216772
모노클제주,제주특별자치도 서귀포시 태위로360번길 30-8 ,서귀포시,음식점,음식,음식점,카페/전통찻집,191.0,3.0,16.0,2.0,0.0,2.0,6.0,1.0,3.0,2.0,33.2729034,126.6845006
모뉴에트,제주특별자치도 제주시 종달동길 23 ,제주시,음식점,음식,음식점,카페/전통찻집,241.0,3.0,36.0,4.0,3.0,5.0,5.0,8.0,6.0,5.0,33.4915646,126.9022722
모루쿠다,제주특별자치도 서귀포시 태평로431번길 32 1층,서귀포시,음식점,음식,음식점,일식,621.0,3.0,55.0,8.0,9.0,5.0,10.0,9.0,9.0,5.0,33.2581015,126.5772117
모슬포중앙시장,제주특별자치도 서귀포시 대정읍 영서중로13번길 9-8 ,서귀포시,쇼핑,쇼핑,쇼핑,상설시장,1837.0,3.0,141.0,18.0,19.0,22.0,23.0,27.0,14.0,18.0,33.2210679,126.2540093
모이소,"제주특별자치도 제주시 신광로8길 14 (연동,송네하우스)",제주시,쇼핑,쇼핑,쇼핑,공예/공방,334.0,3.0,39.0,2.0,6.0,9.0,8.0,6.0,4.0,4.0,33.4871211,126.4885456
모지오름,제주특별자치도 서귀포시 표선면 성읍리 산22,서귀포시,관광지,자연,자연관광지,산,550.0,3.0,53.0,5.0,9.0,5.0,12.0,5.0,6.0,11.0,33.395118,126.7701692
몬스터살롱,제주특별자치도 제주시 일주서로 6017 ,제주시,음식점,음식,음식점,서양식,215.0,3.0,20.0,4.0,1.0,5.0,3.0,3.0,3.0,1.0,33.448277,126.3072349
몰질식육식당,제주특별자치도 서귀포시 이어도로 598 ,서귀포시,음식점,음식,음식점,한식,258.0,3.0,24.0,2.0,5.0,3.0,4.0,5.0,2.0,3.0,33.235374,126.4803004
몽생이,제주특별자치도 제주시 한경면 녹차분재로 628 ,제주시,음식점,음식,음식점,한식,723.0,3.0,58.0,3.0,7.0,9.0,7.0,17.0,7.0,8.0,33.3246675,126.2604681
무거버거,제주특별자치도 제주시 조함해안로 356 ,제주시,음식점,음식,음식점,서양식,369.0,3.0,34.0,4.0,3.0,8.0,6.0,4.0,5.0,4.0,33.548942,126.6549672
무비랜드왁스뮤지엄,제주특별자치도 서귀포시 중문관광로 205 (중문동) ,서귀포시,문화시설,인문(문화/예술/역사),문화시설,박물관,969.0,3.0,93.0,13.0,13.0,11.0,19.0,20.0,6.0,11.0,33.2436726,126.4215188
무수천,제주특별자치도 제주시 애월읍 무수천길 (애월읍) 일대,제주시,관광지,자연,자연관광지,계곡,814.0,3.0,92.0,16.0,10.0,10.0,13.0,24.0,11.0,8.0,33.4633826,126.4445845
문서프,제주특별자치도 제주시 애월읍 곽지7길 1 ,제주시,레포츠,레포츠,수상 레포츠,윈드서핑/제트스키,405.0,3.0,37.0,5.0,2.0,7.0,7.0,6.0,3.0,7.0,33.4501389,126.3083862
물고기나무게스트하우스,제주특별자치도 서귀포시 성산읍 중산간동로 4204-14 ,서귀포시,숙박,숙박,숙박시설,펜션,315.0,3.0,31.0,5.0,4.0,4.0,6.0,6.0,4.0,2.0,33.3789432,126.8407648
물뫼힐링팜,제주특별자치도 제주시 애월읍 예원로 51 ,제주시,관광지,인문(문화/예술/역사),체험관광지,이색체험,987.0,3.0,84.0,12.0,8.0,16.0,13.0,17.0,11.0,7.0,33.4642593,126.3965364
물영아리오름,제주특별자치도 서귀포시 남원읍 태수로 552 ,서귀포시,관광지,자연,자연관광지,산,7805.0,3.0,600.0,80.0,77.0,89.0,120.0,103.0,62.0,69.0,33.3325498,126.7030501
미도모텔,제주특별자치도 서귀포시 성산읍 성산등용로 1 ,서귀포시,숙박,숙박,숙박시설,모텔,265.0,3.0,35.0,3.0,5.0,8.0,8.0,4.0,3.0,4.0,33.4641765,126.9335918
미스틱3도,제주특별자치도 제주시 1100로 2894-49 1층,제주시,음식점,음식,음식점,카페/전통찻집,248.0,3.0,23.0,0.0,1.0,4.0,6.0,7.0,3.0,2.0,33.4499557,126.4876618
미엘드세화,제주특별자치도 제주시 해맞이해안로 1464 ,제주시,음식점,음식,음식점,카페/전통찻집,179.0,3.0,22.0,2.0,2.0,4.0,4.0,3.0,4.0,3.0,33.5290971,126.8463777
미영이네식당,제주특별자치도 서귀포시 대정읍 하모항구로 42 ,서귀포시,음식점,음식,음식점,한식,423.0,3.0,75.0,5.0,14.0,15.0,14.0,11.0,9.0,7.0,33.2177154,126.2499247
미천굴,제주특별자치도 서귀포시 성산읍 중산간동로 4150-30 ,서귀포시,관광지,자연,자연관광지,동굴,1936.0,3.0,167.0,24.0,31.0,30.0,19.0,20.0,22.0,21.0,33.3831862,126.8418892
미친부엌,"제주특별자치도 제주시 탑동로 15 1,2층",제주시,음식점,음식,음식점,일식,869.0,3.0,93.0,9.0,7.0,9.0,19.0,20.0,8.0,21.0,33.5170061,126.523159
미쿠니,제주특별자치도 제주시 서흘길 41 ,제주시,음식점,음식,음식점,카페/전통찻집,165.0,3.0,16.0,4.0,2.0,2.0,3.0,1.0,2.0,2.0,33.5290919,126.58961
밀레니엄빌,제주특별자치도 서귀포시 보목로64번길 196 ,서귀포시,숙박,숙박,숙박시설,펜션,129.0,3.0,13.0,0.0,3.0,1.0,2.0,2.0,1.0,4.0,33.2451899,126.5899481
바늘오름,제주특별자치도 제주시 조천읍 교래리 산 108,제주시,관광지,자연,자연관광지,산,474.0,3.0,47.0,7.0,1.0,4.0,7.0,9.0,9.0,10.0,33.4180631,126.6534847
바다는안보여요,제주특별자치도 제주시 구좌읍 종달로5길 31-1 ,제주시,음식점,음식,음식점,카페/전통찻집,214.0,3.0,24.0,2.0,2.0,3.0,6.0,3.0,4.0,4.0,33.4933905,126.8994254
바다다,제주특별자치도 서귀포시 대포로 148-15 ,서귀포시,음식점,음식,음식점,카페/전통찻집,920.0,3.0,174.0,21.0,29.0,27.0,29.0,28.0,15.0,25.0,33.2373994,126.4367119
바다속고등어쌈밥,제주특별자치도 제주시 애월읍 일주서로 7089 ,제주시,음식점,음식,음식점,한식,1017.0,3.0,123.0,15.0,27.0,22.0,20.0,16.0,14.0,9.0,33.4842849,126.4068335
바다위에코끼리,제주특별자치도 제주시 한림읍 협재1길 27-6 ,제주시,음식점,음식,음식점,카페/전통찻집,238.0,3.0,26.0,7.0,3.0,1.0,7.0,4.0,1.0,3.0,33.3978595,126.242948
바다잔치,제주특별자치도 제주시 탑동로 79 ,제주시,음식점,음식,음식점,한식,196.0,3.0,29.0,4.0,4.0,3.0,4.0,9.0,0.0,5.0,33.517644,126.5168421
바다제비,제주특별자치도 제주시 한림로 640 ,제주시,음식점,음식,음식점,한식,182.0,3.0,24.0,5.0,3.0,0.0,3.0,5.0,3.0,5.0,33.4133203,126.2620864
바다풍경횟집,제주특별자치도 제주시 서해안로 654 (용담삼동),제주시,음식점,음식,음식점,한식,1058.0,3.0,117.0,16.0,12.0,23.0,35.0,12.0,10.0,9.0,33.5162088,126.5068722
바다해호텔,제주특별자치도 서귀포시 천지연로 3-1 (서귀동),서귀포시,숙박,숙박,숙박시설,게스트하우스,552.0,3.0,80.0,9.0,12.0,14.0,15.0,13.0,5.0,12.0,33.2414444,126.565685
바람벽에흰당나귀,제주특별자치도 제주시 동복로 11 ,제주시,음식점,음식,음식점,카페/전통찻집,341.0,3.0,38.0,8.0,8.0,8.0,2.0,4.0,3.0,5.0,33.55374219999999,126.7075079
바램목장&카페,제주특별자치도 서귀포시 신화역사로 611 ,서귀포시,음식점,음식,음식점,카페/전통찻집,213.0,3.0,18.0,2.0,4.0,0.0,2.0,5.0,3.0,2.0,33.3112276,126.3526843
바움하우스,제주특별자치도 제주시 서해안로 448 1층,제주시,음식점,음식,음식점,한식,141.0,3.0,14.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,33.5176843,126.4875273
바위소리,제주특별자치도 제주시 우도면 우도해안길 1112 ,제주시,음식점,음식,음식점,카페/전통찻집,206.0,3.0,30.0,6.0,4.0,2.0,10.0,1.0,4.0,3.0,33.4976913,126.9690072
바이제주,제주특별자치도 제주시 서해안로 626 (용담삼동),제주시,쇼핑,쇼핑,쇼핑,특산물판매점,554.0,3.0,68.0,7.0,11.0,9.0,12.0,10.0,8.0,11.0,33.516627,126.5040466
바캉스샤브샤브,제주특별자치도 제주시 조천읍 신북로 595 ,제주시,음식점,음식,음식점,한식,224.0,3.0,27.0,8.0,6.0,3.0,4.0,1.0,2.0,3.0,33.54009010000001,126.6730893
박수기정,제주특별자치도 서귀포시 안덕면 난드르로 90-25 ,서귀포시,관광지,자연,자연관광지,해안절경,9479.0,3.0,788.0,111.0,70.0,170.0,135.0,105.0,71.0,126.0,33.237153,126.3587249
발자국화석공원,제주특별자치도 서귀포시 대정읍 형제해안로 192 ,서귀포시,관광지,자연,관광자원,기암괴석,1281.0,3.0,124.0,13.0,18.0,28.0,21.0,25.0,12.0,7.0,33.2173222,126.2930456
방림원,제주특별자치도 제주시 한경면 용금로 864 ,제주시,문화시설,인문(문화/예술/역사),문화시설,전시관,1312.0,3.0,188.0,28.0,33.0,26.0,33.0,35.0,13.0,20.0,33.3371463,126.2685417
방선문,제주특별자치도 제주시 오라이동 39-1,제주시,관광지,자연,자연관광지,계곡,623.0,3.0,65.0,8.0,9.0,8.0,13.0,15.0,6.0,6.0,33.4712097,126.5020906
