관광지명,주소,장소 카테고리,대분류,중분류,소분류,총 방문자수,기준월,1월 방문자수,월요일방문자수,화요일방문자수,수요일방문자수,목요일방문자수,금요일방문자수,토요일방문자수,일요일방문자수,위도,경도
동문수산시장,제주특별자치도 제주시 이도일동 1349-60 ,쇼핑,쇼핑,쇼핑,상설시장,2687.0,1.0,248.0,32.0,42.0,42.0,29.0,25.0,44.0,34.0,33.5126937,126.5262065
동문재래시장,제주특별자치도 제주시 관덕로14길 20 ,쇼핑,쇼핑,쇼핑,상설시장,23886.0,1.0,1242.0,230.0,218.0,168.0,170.0,133.0,129.0,194.0,33.5116033,126.5260192
동박생이,제주특별자치도 제주시 구좌읍 월정1길 89 ,숙박,숙박,숙박시설,펜션,398.0,1.0,44.0,7.0,4.0,7.0,6.0,7.0,2.0,11.0,33.5584132,126.792853
동백포레스트,제주특별자치도 서귀포시 남원읍 생기악로 53-38 ,관광지,자연,자연관광지,수목원,11609.0,1.0,1432.0,237.0,262.0,205.0,158.0,166.0,149.0,255.0,33.3330338,126.6180657
동일리포구,제주특별자치도 서귀포시 대정읍 동일하모로98번길 14-32 ,관광지,자연,자연관광지,항구/포구,478.0,1.0,54.0,13.0,9.0,9.0,6.0,4.0,4.0,9.0,33.247276,126.2475706
동해미락,제주특별자치도 서귀포시 칠십리로 133 ,음식점,음식,음식점,일식,537.0,1.0,58.0,12.0,10.0,4.0,4.0,9.0,3.0,16.0,33.2436735,126.5682369
두맹이골목,제주특별자치도 제주시 일도이동 1006-11,관광지,인문(문화/예술/역사),체험관광지,이색거리,741.0,1.0,80.0,13.0,18.0,9.0,10.0,9.0,8.0,13.0,33.5120308,126.5349279
두산봉,제주특별자치도 서귀포시 성산읍 시흥리 산1-5,관광지,자연,자연관광지,산,1016.0,1.0,138.0,25.0,19.0,16.0,11.0,20.0,20.0,27.0,,
둔지봉,제주특별자치도 제주시 구좌읍 한동리 산 40,관광지,자연,자연관광지,산,527.0,1.0,57.0,9.0,4.0,9.0,5.0,11.0,7.0,12.0,33.5016894,126.7942442
뒤굽은이오름,제주특별자치도 서귀포시 성산읍 일주동로 (수산리) 일대,관광지,자연,자연관광지,산,478.0,1.0,49.0,20.0,6.0,4.0,3.0,3.0,3.0,10.0,33.4308824,126.8264732
듀포레,제주특별자치도 제주시 서해안로 579 ,음식점,음식,음식점,카페/전통찻집,148.0,1.0,21.0,6.0,2.0,3.0,3.0,3.0,1.0,3.0,33.5185457,126.5000597
등경돌식당,제주특별자치도 서귀포시 성산읍 일출로 279 ,음식점,음식,음식점,한식,251.0,1.0,34.0,4.0,10.0,6.0,4.0,4.0,0.0,6.0,33.4626155,126.9345315
디아넥스호텔,제주특별자치도 서귀포시 안덕면 산록남로762번길 71 ,숙박,숙박,숙박시설,관광호텔,542.0,1.0,83.0,12.0,16.0,13.0,9.0,9.0,11.0,13.0,,
따라비오름,제주특별자치도 서귀포시 표선면 가시리 산62,관광지,자연,자연관광지,산,6840.0,1.0,505.0,101.0,70.0,69.0,68.0,66.0,56.0,75.0,33.3828211,126.7313785
띠띠빵빵,제주특별자치도 제주시 우도면 우도해안길 982 ,음식점,음식,음식점,중식,206.0,1.0,17.0,1.0,1.0,1.0,5.0,1.0,1.0,7.0,33.5081966,126.9670484
라마다제주함덕호텔,제주특별자치도 제주시 조천읍 신북로 470 ,숙박,숙박,숙박시설,관광호텔,637.0,1.0,55.0,9.0,8.0,8.0,7.0,6.0,8.0,9.0,,
라마다프라자제주호텔,제주특별자치도 제주시 탑동로 66 ,숙박,숙박,숙박시설,관광호텔,1010.0,1.0,211.0,38.0,33.0,28.0,24.0,30.0,24.0,34.0,,
라온골프클럽,제주특별자치도 제주시 한경면 용금로 998 ,레포츠,레포츠,육상 레포츠,골프,615.0,1.0,52.0,12.0,8.0,7.0,7.0,4.0,8.0,6.0,33.3418703,126.2780253
라온명품관,제주특별자치도 제주시 한림읍 금능남로 127 ,쇼핑,쇼핑,쇼핑,전문매장/상가,464.0,1.0,61.0,17.0,8.0,7.0,5.0,13.0,5.0,6.0,33.3810152,126.2411754
라온호텔앤리조트,제주특별자치도 제주시 한림읍 금능남로 127 ,관광지,인문(문화/예술/역사),휴양관광지,관광단지,619.0,1.0,41.0,8.0,3.0,6.0,3.0,10.0,1.0,10.0,33.3810152,126.2411754
라헨느리조트,제주특별자치도 제주시 명림로 384 ,숙박,인문(문화/예술/역사),휴양관광지,관광단지,364.0,1.0,33.0,8.0,10.0,3.0,1.0,6.0,2.0,3.0,33.4521555,126.6155076
랜딩다이닝,제주특별자치도 서귀포시 안덕면 신화역사로304번길 38 ,음식점,음식,음식점,이색음식점,545.0,1.0,55.0,13.0,8.0,4.0,8.0,6.0,4.0,12.0,,
랜딩관제주신화월드호텔앤리조트,제주특별자치도 서귀포시 안덕면 신화역사로304번길 38 ,숙박,숙박,숙박시설,관광호텔,713.0,1.0,84.0,15.0,17.0,6.0,10.0,11.0,12.0,13.0,,
로빙화,제주특별자치도 서귀포시 남원읍 남태해안로 13 ,음식점,음식,음식점,카페/전통찻집,331.0,1.0,40.0,16.0,8.0,4.0,1.0,4.0,3.0,4.0,33.27515,126.7093389
롯데시티호텔제주,제주특별자치도 제주시 도령로 83 ,숙박,숙박,숙박시설,관광호텔,394.0,1.0,46.0,11.0,10.0,10.0,3.0,4.0,1.0,7.0,33.4906409,126.4866038
롯데호텔제주,제주특별자치도 서귀포시 중문관광로72번길 35 ,숙박,숙박,숙박시설,관광호텔,1070.0,1.0,127.0,15.0,24.0,26.0,14.0,17.0,14.0,17.0,,
르쉬느아,제주특별자치도 서귀포시 안덕면 신화역사로304번길 38 ,음식점,음식,음식점,중식,1174.0,1.0,129.0,23.0,18.0,23.0,23.0,9.0,12.0,21.0,,
르토아베이스먼트,제주특별자치도 제주시 해맞이해안로 1226 ,음식점,음식,음식점,카페/전통찻집,194.0,1.0,19.0,6.0,3.0,1.0,4.0,2.0,1.0,2.0,,
마노르블랑,제주특별자치도 서귀포시 안덕면 일주서로2100번길 46 ,음식점,음식,음식점,카페/전통찻집,3409.0,1.0,408.0,61.0,78.0,67.0,61.0,44.0,53.0,44.0,33.2542777,126.2945292
마돈,제주특별자치도 서귀포시 성산읍 섭지코지로 56 ,음식점,음식,음식점,한식,147.0,1.0,13.0,2.0,2.0,0.0,2.0,1.0,2.0,4.0,33.4375299,126.9218483
마두천손칼국수,제주특별자치도 제주시 용해로 45 ,음식점,음식,음식점,한식,269.0,1.0,34.0,10.0,6.0,4.0,3.0,3.0,5.0,3.0,33.5131118,126.5029959
마라도등대,"제주특별자치도 서귀포시 대정읍 마라로 (165, 마라도항로표지관리소) ",관광지,자연,자연관광지,등대,834.0,1.0,75.0,9.0,7.0,13.0,13.0,13.0,8.0,12.0,33.1697336,126.271453
마라도,제주특별자치도 서귀포시 대정읍 마라로101번길 46 ,관광지,자연,자연관광지,섬,6306.0,1.0,375.0,68.0,62.0,49.0,61.0,41.0,35.0,59.0,,
마마롱,제주특별자치도 제주시 평화로 2783 1층,음식점,음식,음식점,카페/전통찻집,346.0,1.0,37.0,8.0,5.0,1.0,7.0,5.0,2.0,9.0,,
마틸다,제주특별자치도 제주시 고내1길 33 ,음식점,음식,음식점,카페/전통찻집,333.0,1.0,28.0,8.0,1.0,4.0,5.0,3.0,3.0,4.0,33.4656782,126.3342415
만덕이네,제주특별자치도 서귀포시 표선면 서성일로 16 ,음식점,음식,음식점,한식,651.0,1.0,74.0,13.0,17.0,3.0,9.0,11.0,8.0,13.0,33.3933351,126.8011503
만부정,제주특별자치도 제주시 사장길 38 ,음식점,음식,음식점,일식,274.0,1.0,28.0,12.0,6.0,1.0,2.0,1.0,4.0,2.0,33.482681,126.4945352
만선식당,제주특별자치도 서귀포시 대정읍 하모항구로 44 ,음식점,음식,음식점,한식,479.0,1.0,53.0,12.0,7.0,4.0,6.0,11.0,7.0,6.0,33.217849,126.2498585
만세국수,제주특별자치도 제주시 오라로 152 (오라일동),음식점,음식,음식점,한식,24.0,1.0,20.0,3.0,4.0,2.0,5.0,1.0,0.0,5.0,33.4941591,126.5187824
만월당,제주특별자치도 제주시 월정1길 56 ,음식점,음식,음식점,서양식,309.0,1.0,31.0,4.0,8.0,2.0,2.0,4.0,4.0,7.0,33.5561836,126.7929619
만장굴,제주특별자치도 제주시 구좌읍 만장굴길 182 (구좌읍),관광지,자연,자연관광지,동굴,43227.0,1.0,5728.0,983.0,954.0,664.0,674.0,785.0,739.0,929.0,33.52819720000001,126.7717618
맛나식당,제주특별자치도 서귀포시 성산읍 동류암로 41 ,음식점,음식,음식점,한식,910.0,1.0,76.0,12.0,18.0,9.0,11.0,7.0,5.0,14.0,33.4486021,126.9158529
맛있는집,제주특별자치도 서귀포시 중앙로 110 ,음식점,음식,음식점,한식,458.0,1.0,26.0,4.0,4.0,0.0,5.0,2.0,6.0,5.0,33.2508423,126.5644132
맥파이브루어리,제주특별자치도 제주시 동회천1길 23 (회천동),관광지,인문(문화/예술/역사),산업관광지,식음료,823.0,1.0,75.0,12.0,15.0,9.0,4.0,15.0,9.0,11.0,,
머체왓숲길,제주특별자치도 서귀포시 남원읍 서성로 755 ,레포츠,레포츠,육상 레포츠,트래킹,5344.0,1.0,487.0,90.0,105.0,58.0,57.0,51.0,52.0,74.0,33.31887750000001,126.6742738
메리어트관제주신화월드호텔앤리조트,제주특별자치도 서귀포시 안덕면 신화역사로304번길 38 ,숙박,숙박,숙박시설,관광호텔,258.0,1.0,35.0,5.0,8.0,8.0,1.0,6.0,3.0,4.0,,
메이즈랜드,제주특별자치도 제주시 구좌읍 비자림로 2134-47 ,관광지,인문(문화/예술/역사),휴양관광지,테마공원,8368.0,1.0,644.0,106.0,108.0,93.0,95.0,80.0,57.0,105.0,33.4743111,126.7771579
메종글래드제주,제주특별자치도 제주시 노연로 80 ,숙박,숙박,숙박시설,관광호텔,586.0,1.0,75.0,11.0,14.0,6.0,15.0,5.0,1.0,23.0,,
메콩스카이,제주특별자치도 제주시 연오로 35 1층,음식점,음식,음식점,이색음식점,290.0,1.0,27.0,8.0,3.0,3.0,7.0,2.0,2.0,2.0,33.4901181,126.5021141
