관광지명,주소,장소 카테고리,대분류,중분류,소분류,총 방문자수,기준월,7월 방문자수,월요일방문자수,화요일방문자수,수요일방문자수,목요일방문자수,금요일방문자수,토요일방문자수,일요일방문자수
삼양해수욕장,제주특별자치도 제주시 삼양이동 ,관광지,자연,자연관광지,해수욕장,3979.0,7.0,423.0,79.0,50.0,64.0,47.0,63.0,59.0,61.0
삼양해안도로,제주특별자치도 제주시 삼양삼동 2582-1 ,관광지,자연,자연관광지,자연생태관광지,481.0,7.0,52.0,12.0,4.0,10.0,6.0,7.0,7.0,6.0
서건도,제주특별자치도 서귀포시 강정동 ,관광지,자연,자연관광지,섬,2003.0,7.0,144.0,26.0,25.0,10.0,20.0,17.0,21.0,25.0
서귀포치유의숲,제주특별자치도 서귀포시 산록남로 2271 (호근동),관광지,인문(문화/예술/역사),휴양관광지,헬스투어,11271.0,7.0,1125.0,200.0,151.0,158.0,151.0,138.0,145.0,182.0
서귀포자연휴양림,제주특별자치도 서귀포시 1100로 882 ,관광지,자연,자연관광지,자연휴양림,2851.0,7.0,207.0,45.0,38.0,31.0,21.0,26.0,21.0,25.0
서귀포항,제주특별자치도 서귀포시 칠십리로72번길 14 (서귀동),관광지,자연,자연관광지,항구/포구,2308.0,7.0,194.0,36.0,38.0,20.0,33.0,17.0,21.0,29.0
서귀포해안,제주특별자치도 서귀포시 남성로128번길 13 (서홍동) ,관광지,자연,자연관광지,해안절경,444.0,7.0,40.0,4.0,6.0,7.0,6.0,6.0,8.0,3.0
서프라이즈테마파크,제주특별자치도 제주시 조천읍 남조로 2243 ,관광지,인문(문화/예술/역사),휴양관광지,테마공원,1994.0,7.0,172.0,32.0,26.0,18.0,23.0,24.0,27.0,22.0
섭지코지,제주특별자치도 서귀포시 성산읍 섭지코지로 107 ,관광지,자연,자연관광지,해안절경,37459.0,7.0,1451.0,339.0,176.0,172.0,195.0,198.0,160.0,211.0
성읍랜드,제주특별자치도 서귀포시 표선면 번영로 2650 ,관광지,인문(문화/예술/역사),휴양관광지,테마공원,1912.0,7.0,167.0,20.0,20.0,26.0,24.0,14.0,35.0,28.0
세화해변,제주특별자치도 제주시 구좌읍 세화길 (구좌읍),관광지,자연,자연관광지,해수욕장,11079.0,7.0,1173.0,181.0,170.0,164.0,145.0,149.0,157.0,207.0
소남머리,제주특별자치도 서귀포시 칠십리로 145 (서귀동) ,관광지,자연,자연관광지,해안절경,535.0,7.0,52.0,14.0,10.0,7.0,8.0,3.0,2.0,8.0
소인국테마파크,제주특별자치도 서귀포시 안덕면 중산간서로 1878 ,관광지,인문(문화/예술/역사),휴양관광지,테마공원,3988.0,7.0,306.0,71.0,34.0,31.0,41.0,52.0,34.0,43.0
소천지,제주특별자치도 서귀포시 보목동 1400 (보목동),관광지,자연,자연관광지,해안절경,4918.0,7.0,295.0,44.0,37.0,48.0,45.0,41.0,40.0,40.0
쇠소깍,제주특별자치도 서귀포시 쇠소깍로 128 (하효동),관광지,자연,자연관광지,계곡,38097.0,7.0,1744.0,327.0,210.0,204.0,249.0,230.0,235.0,289.0
수목원테마파크,제주특별자치도 제주시 은수길 69 ,관광지,인문(문화/예술/역사),휴양관광지,테마공원,3236.0,7.0,246.0,49.0,43.0,21.0,34.0,33.0,33.0,33.0
순례자의교회,제주특별자치도 제주시 한경면 일주서로 3960-24 ,관광지,인문(문화/예술/역사),역사관광지,종교성지,2494.0,7.0,184.0,40.0,18.0,30.0,25.0,14.0,36.0,21.0
쉬리의언덕,제주특별자치도 서귀포시 색달동 3093-1,관광지,자연,자연관광지,자연생태관광지,1722.0,7.0,136.0,24.0,17.0,15.0,18.0,24.0,21.0,17.0
스누피가든,제주특별자치도 제주시 구좌읍 금백조로 930 스누피 공원,관광지,인문(문화/예술/역사),휴양관광지,테마공원,4482.0,7.0,310.0,43.0,53.0,49.0,46.0,46.0,32.0,41.0
신도포구,제주특별자치도 서귀포시 대정읍 신도리 3046-2 ,관광지,자연,자연관광지,항구/포구,569.0,7.0,47.0,14.0,2.0,11.0,6.0,8.0,3.0,3.0
신비의도로,제주특별자치도 제주시 노형동 ,관광지,인문(문화/예술/역사),체험관광지,이색체험,4799.0,7.0,335.0,53.0,45.0,50.0,52.0,28.0,56.0,51.0
신산공원,제주특별자치도 제주시 신산로 92-12 (일도이동),관광지,인문(문화/예술/역사),휴양관광지,공원,1336.0,7.0,108.0,26.0,17.0,11.0,13.0,18.0,9.0,14.0
신양섭지해수욕장,제주특별자치도 서귀포시 성산읍 섭지코지로 107 ,관광지,자연,자연관광지,해수욕장,2736.0,7.0,365.0,78.0,50.0,49.0,50.0,33.0,48.0,57.0
